Linux 3.10.0-1160.el7.x86_64 (test-deid) 	西元2023年06月06日 	_x86_64_	(8 CPU)

11時15分47秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
12時47分47秒     all      0.88      0.00      0.65      0.00      0.00     98.46
12時48分47秒     all      0.81      0.00      0.67      0.00      0.00     98.52
12時49分47秒     all      0.88      0.00      0.65      0.00      0.00     98.47
12時50分47秒     all      0.85      0.00      0.74      0.00      0.00     98.41
12時51分47秒     all      0.93      0.00      0.67      0.00      0.00     98.39
12時52分47秒     all      0.90      0.00      0.83      0.00      0.00     98.27
12時53分47秒     all      0.98      0.00      0.67      0.00      0.00     98.35
12時54分47秒     all      0.85      0.00      0.66      0.00      0.00     98.49
12時55分47秒     all      0.89      0.00      0.69      0.00      0.00     98.42
12時56分47秒     all      0.85      0.00      0.68      0.00      0.00     98.47
12時57分47秒     all      0.87      0.00      0.68      0.00      0.00     98.45
12時58分47秒     all      0.91      0.00      0.79      0.00      0.00     98.30
12時59分47秒     all      0.86      0.00      0.68      0.00      0.00     98.46
13時00分47秒     all      0.90      0.00      0.71      0.00      0.00     98.39
13時01分47秒     all      0.91      0.00      0.72      0.00      0.00     98.37
13時02分47秒     all      0.94      0.00      0.82      0.00      0.00     98.23
13時03分47秒     all      0.86      0.00      0.66      0.00      0.00     98.48
13時04分47秒     all      0.85      0.00      0.68      0.00      0.00     98.46
13時05分47秒     all      0.94      0.00      0.69      0.00      0.00     98.37
13時06分47秒     all      0.84      0.00      0.67      0.00      0.00     98.49
13時07分47秒     all      0.90      0.00      0.66      0.00      0.00     98.43
13時08分47秒     all      0.82      0.00      0.67      0.00      0.00     98.51
13時09分47秒     all      1.30      0.00      0.72      0.00      0.00     97.98
13時10分47秒     all      0.87      0.00      0.73      0.00      0.00     98.39
13時11分47秒     all      0.97      0.00      0.71      0.00      0.00     98.31
13時12分47秒     all      0.88      0.00      0.80      0.00      0.00     98.32
13時13分47秒     all      0.86      0.00      0.66      0.00      0.00     98.48
13時14分47秒     all      0.83      0.00      0.69      0.00      0.00     98.48
13時15分47秒     all      0.89      0.00      0.68      0.00      0.00     98.42
13時16分47秒     all      0.82      0.00      0.67      0.01      0.00     98.51
13時17分47秒     all      0.95      0.00      0.69      0.00      0.00     98.36
13時18分47秒     all      0.84      0.00      0.67      0.00      0.00     98.48
13時19分47秒     all      0.88      0.00      0.65      0.00      0.00     98.46
13時20分47秒     all      0.87      0.00      0.74      0.00      0.00     98.40
13時21分47秒     all      0.92      0.00      0.67      0.00      0.00     98.41
13時22分47秒     all      0.92      0.00      0.81      0.00      0.00     98.26
13時23分47秒     all      0.89      0.00      0.66      0.00      0.00     98.45
13時24分47秒     all      0.91      0.00      0.67      0.00      0.00     98.42
13時25分47秒     all      0.86      0.00      0.65      0.00      0.00     98.49
13時26分47秒     all      0.86      0.00      0.68      0.00      0.00     98.46
13時27分47秒     all      0.89      0.00      0.67      0.00      0.00     98.44
13時28分47秒     all      0.85      0.00      0.69      0.00      0.00     98.46
